"title","summary","sector","stage","targetAmount","currency","problem_statement","problem_targetMarket","problem_marketSize","solution_description","solution_uniqueValue","solution_competitiveAdvantage","businessModel_revenueStreams","businessModel_pricingStrategy","businessModel_customerAcquisition","financials_currentRevenue","financials_projectedRevenue","financials_burnRate","financials_runway","status"
"AquaLogic Tanzania","Improves agriculture efficiency by 61% for over 7,860 businesses in Tanzania","healthcare","scaling","18046577","USD","43% of SMEs in Tanzania lack access to affordable financing, leaving a $9.5B funding gap","SMEs in Dar es Salaam","$2.7B addressable market in Tanzania and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","3x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Tanzania industry associations and 1-year data advantage","$108/month SaaS subscription plus 3.5% transaction fee","$808 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 11 signed enterprise LOIs","$116,000 ARR","$4.7M ARR by Year 2","$86,000/month","21 months","approved"
"VisionPro Nigeria","Improves supply chain efficiency by 47% for over 37,979 businesses in Nigeria","fintech","idea","7438441","USD","Hospitals in Lagos spend 35% more on logistics due to fragmented procurement systems, wasting $5.4B yearly","SMEs in Lagos","$1.2B addressable market in Nigeria and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","3x cheaper than regional competitors with 7 patents filed","Exclusive partnership with Nigeria industry associations and 3-year data advantage","$128/month SaaS subscription plus 4.6% transaction fee","$544 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$40,000 MRR","$10.9M ARR by Year 5","$21,000/month","23 months","approved"
"FarmPro Kenya","Improves manufacturing efficiency by 50% for over 31,170 businesses in Kenya","education","mvp","14476647","USD","Hospitals in Nairobi spend 23% more on logistics due to fragmented procurement systems, wasting $9.4B yearly","SMEs in Nairobi","$20.9B addressable market in Kenya and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","5x cheaper than regional competitors with 4 patents filed","Exclusive partnership with Kenya industry associations and 3-year data advantage","$67/month SaaS subscription plus 2.8% transaction fee","$980 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 13 signed enterprise LOIs","$76,000 MRR","$13.1M ARR by Year 4","$15,000/month","13 months","approved"
"MediLogic Global","Improves healthcare efficiency by 69% for over 45,235 businesses in Global","agriculture","early-revenue","19103521","USD","61% of SMEs in Global lack access to affordable financing, leaving a $2.1B funding gap","urban hospitals in global markets","$6.2B addressable market in Global and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","5x cheaper than regional competitors with 5 patents filed","Exclusive partnership with Global industry associations and 3-year data advantage","$29/month SaaS subscription plus 1.0% transaction fee","$642 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 8 signed enterprise LOIs","$24,000 MRR","$2.8M ARR by Year 2","$53,000/month","11 months","approved"
"BuildLink Tanzania","Improves healthcare efficiency by 31% for over 27,061 businesses in Tanzania","energy","scaling","10825459","USD","59% of healthcare operations in Tanzania remain manual, causing $1.3B in annual losses","manufacturing firms in Dar es Salaam","$16.8B addressable market in Tanzania and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","4x cheaper than regional competitors with 5 patents filed","Exclusive partnership with Tanzania industry associations and 3-year data advantage","$90/month SaaS subscription plus 2.7% transaction fee","$641 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 13 signed enterprise LOIs","$136,000 ARR","$5.1M ARR by Year 4","$105,000/month","19 months","approved"
"AquaTrack Uganda","Improves agriculture efficiency by 62% for over 42,403 businesses in Uganda","real_estate","idea","4027678","USD","23% of produce in Uganda spoils before reaching market, costing suppliers $2.8B annually","urban hospitals in Kampala","$15.2B addressable market in Uganda and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","5x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Uganda industry associations and 3-year data advantage","$182/month SaaS subscription plus 4.2% transaction fee","$242 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 3 signed enterprise LOIs","$63,000 ARR","$10.3M ARR by Year 2","$28,000/month","19 months","approved"
"FinPro Ethiopia","Improves supply chain efficiency by 45% for over 48,577 businesses in Ethiopia","manufacturing","mvp","2395140","USD","Hospitals in Addis Ababa spend 48% more on logistics due to fragmented procurement systems, wasting $4.9B yearly","retail distributors in Addis Ababa","$15.3B addressable market in Ethiopia and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","5x cheaper than regional competitors with 1 patents filed","Exclusive partnership with Ethiopia industry associations and 3-year data advantage","$30/month SaaS subscription plus 4.9% transaction fee","$86 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 6 signed enterprise LOIs","$0 pre-revenue","$3.4M ARR by Year 2","$49,000/month","24 months","approved"
"EduWorks Tanzania","Improves manufacturing efficiency by 55% for over 27,323 businesses in Tanzania","retail","early-revenue","4942325","USD","Hospitals in Dar es Salaam spend 52% more on logistics due to fragmented procurement systems, wasting $1.4B yearly","manufacturing firms in Dar es Salaam","$1.7B addressable market in Tanzania and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","4x cheaper than regional competitors with 4 patents filed","Exclusive partnership with Tanzania industry associations and 2-year data advantage","$148/month SaaS subscription plus 3.7% transaction fee","$171 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 15 signed enterprise LOIs","$81,000 ARR","$20.8M ARR by Year 5","$61,000/month","12 months","approved"
"BuildLabs South Africa","Improves healthcare efficiency by 47% for over 71,776 businesses in South Africa","other","scaling","1356657","USD","70% of produce in South Africa spoils before reaching market, costing suppliers $7.7B annually","manufacturing firms in Cape Town","$8.8B addressable market in South Africa and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","2x cheaper than regional competitors with 4 patents filed","Exclusive partnership with South Africa industry associations and 1-year data advantage","$125/month SaaS subscription plus 2.1% transaction fee","$361 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 2 signed enterprise LOIs","$71,000 MRR","$14.8M ARR by Year 4","$75,000/month","9 months","approved"
"PayChain South Africa","Improves supply chain efficiency by 56% for over 30,857 businesses in South Africa","technology","idea","7259243","USD","Hospitals in Cape Town spend 28% more on logistics due to fragmented procurement systems, wasting $7.0B yearly","SMEs in Cape Town","$13.6B addressable market in South Africa and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","4x cheaper than regional competitors with 4 patents filed","Exclusive partnership with South Africa industry associations and 2-year data advantage","$36/month SaaS subscription plus 4.3% transaction fee","$525 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 2 signed enterprise LOIs","$0 pre-revenue","$12.7M ARR by Year 3","$105,000/month","23 months","approved"
"TrackHub Egypt","Improves agriculture efficiency by 60% for over 58,971 businesses in Egypt","healthcare","mvp","9813685","USD","Hospitals in Cairo spend 43% more on logistics due to fragmented procurement systems, wasting $8.5B yearly","smallholder farmers in Cairo","$10.1B addressable market in Egypt and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","4x cheaper than regional competitors with 2 patents filed","Exclusive partnership with Egypt industry associations and 2-year data advantage","$79/month SaaS subscription plus 5.0% transaction fee","$694 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 14 signed enterprise LOIs","$75,000 MRR","$12.2M ARR by Year 2","$57,000/month","16 months","approved"
"SolarWorks Kenya","Improves retail efficiency by 30% for over 52,390 businesses in Kenya","fintech","early-revenue","13901848","USD","Hospitals in Nairobi spend 29% more on logistics due to fragmented procurement systems, wasting $8.7B yearly","smallholder farmers in Nairobi","$20.6B addressable market in Kenya and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","2x cheaper than regional competitors with 7 patents filed","Exclusive partnership with Kenya industry associations and 4-year data advantage","$96/month SaaS subscription plus 1.8% transaction fee","$947 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$0 pre-revenue","$9.4M ARR by Year 3","$52,000/month","18 months","approved"
"AquaChain South Africa","Improves retail efficiency by 35% for over 12,161 businesses in South Africa","education","scaling","18594909","USD","35% of SMEs in South Africa lack access to affordable financing, leaving a $2.0B funding gap","retail distributors in Cape Town","$2.0B addressable market in South Africa and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","4x cheaper than regional competitors with 5 patents filed","Exclusive partnership with South Africa industry associations and 2-year data advantage","$62/month SaaS subscription plus 2.3% transaction fee","$196 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 8 signed enterprise LOIs","$0 pre-revenue","$7.5M ARR by Year 5","$78,000/month","13 months","approved"
"ChainSync Tanzania","Improves supply chain efficiency by 42% for over 69,093 businesses in Tanzania","agriculture","idea","9862842","USD","52% of produce in Tanzania spoils before reaching market, costing suppliers $7.3B annually","retail distributors in Dar es Salaam","$17.2B addressable market in Tanzania and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","5x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Tanzania industry associations and 1-year data advantage","$68/month SaaS subscription plus 4.2% transaction fee","$144 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$69,000 ARR","$13.0M ARR by Year 4","$59,000/month","10 months","approved"
"ColdLogic Global","Improves supply chain efficiency by 41% for over 10,088 businesses in Global","energy","mvp","8170781","USD","Hospitals in global markets spend 70% more on logistics due to fragmented procurement systems, wasting $5.2B yearly","retail distributors in global markets","$11.0B addressable market in Global and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","5x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Global industry associations and 3-year data advantage","$131/month SaaS subscription plus 1.7% transaction fee","$161 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 4 signed enterprise LOIs","$0 pre-revenue","$20.3M ARR by Year 4","$101,000/month","20 months","approved"
"FarmCloud South Africa","Improves retail efficiency by 48% for over 25,608 businesses in South Africa","real_estate","early-revenue","2560528","USD","26% of SMEs in South Africa lack access to affordable financing, leaving a $4.2B funding gap","urban hospitals in Cape Town","$16.7B addressable market in South Africa and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","5x cheaper than regional competitors with 5 patents filed","Exclusive partnership with South Africa industry associations and 1-year data advantage","$185/month SaaS subscription plus 3.6% transaction fee","$598 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 15 signed enterprise LOIs","$44,000 MRR","$7.5M ARR by Year 4","$44,000/month","12 months","approved"
"HealthLink South Africa","Improves retail efficiency by 40% for over 81,025 businesses in South Africa","manufacturing","scaling","13704638","USD","Hospitals in Cape Town spend 66% more on logistics due to fragmented procurement systems, wasting $9.9B yearly","smallholder farmers in Cape Town","$10.0B addressable market in South Africa and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","2x cheaper than regional competitors with 7 patents filed","Exclusive partnership with South Africa industry associations and 1-year data advantage","$158/month SaaS subscription plus 2.9% transaction fee","$741 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 8 signed enterprise LOIs","$57,000 MRR","$18.0M ARR by Year 2","$21,000/month","10 months","approved"
"GridFlow Egypt","Improves manufacturing efficiency by 64% for over 23,056 businesses in Egypt","retail","idea","17231979","USD","Hospitals in Cairo spend 57% more on logistics due to fragmented procurement systems, wasting $6.4B yearly","manufacturing firms in Cairo","$17.4B addressable market in Egypt and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","2x cheaper than regional competitors with 4 patents filed","Exclusive partnership with Egypt industry associations and 2-year data advantage","$150/month SaaS subscription plus 3.1% transaction fee","$626 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 9 signed enterprise LOIs","$0 pre-revenue","$9.2M ARR by Year 5","$56,000/month","23 months","approved"
"AgriSense Ethiopia","Improves retail efficiency by 39% for over 26,431 businesses in Ethiopia","other","mvp","18554565","USD","31% of produce in Ethiopia spoils before reaching market, costing suppliers $6.9B annually","urban hospitals in Addis Ababa","$6.9B addressable market in Ethiopia and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","5x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Ethiopia industry associations and 3-year data advantage","$170/month SaaS subscription plus 4.3% transaction fee","$830 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 8 signed enterprise LOIs","$37,000 MRR","$1.5M ARR by Year 2","$40,000/month","19 months","approved"
"TrackLabs Egypt","Improves supply chain efficiency by 27% for over 38,101 businesses in Egypt","technology","early-revenue","5062770","USD","Hospitals in Cairo spend 48% more on logistics due to fragmented procurement systems, wasting $4.4B yearly","smallholder farmers in Cairo","$5.0B addressable market in Egypt and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","3x cheaper than regional competitors with 3 patents filed","Exclusive partnership with Egypt industry associations and 1-year data advantage","$127/month SaaS subscription plus 4.1% transaction fee","$115 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 10 signed enterprise LOIs","$66,000 MRR","$10.0M ARR by Year 5","$32,000/month","14 months","approved"
"BuildSync Uganda","Improves supply chain efficiency by 34% for over 31,468 businesses in Uganda","healthcare","scaling","9102129","USD","51% of produce in Uganda spoils before reaching market, costing suppliers $5.3B annually","manufacturing firms in Kampala","$13.5B addressable market in Uganda and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","5x cheaper than regional competitors with 2 patents filed","Exclusive partnership with Uganda industry associations and 4-year data advantage","$143/month SaaS subscription plus 3.9% transaction fee","$680 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 13 signed enterprise LOIs","$66,000 ARR","$5.9M ARR by Year 4","$48,000/month","10 months","approved"
"SolarFlow Ethiopia","Improves supply chain efficiency by 53% for over 47,339 businesses in Ethiopia","fintech","idea","8055679","USD","50% of supply chain operations in Ethiopia remain manual, causing $5.4B in annual losses","SMEs in Addis Ababa","$1.9B addressable market in Ethiopia and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","2x cheaper than regional competitors with 1 patents filed","Exclusive partnership with Ethiopia industry associations and 2-year data advantage","$104/month SaaS subscription plus 1.6% transaction fee","$384 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$0 pre-revenue","$10.2M ARR by Year 4","$9,000/month","21 months","approved"
"ChainPro Tanzania","Improves retail efficiency by 63% for over 49,307 businesses in Tanzania","education","mvp","2976778","USD","Hospitals in Dar es Salaam spend 58% more on logistics due to fragmented procurement systems, wasting $2.2B yearly","retail distributors in Dar es Salaam","$20.2B addressable market in Tanzania and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","5x cheaper than regional competitors with 5 patents filed","Exclusive partnership with Tanzania industry associations and 3-year data advantage","$181/month SaaS subscription plus 2.1% transaction fee","$967 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 4 signed enterprise LOIs","$72,000 MRR","$19.9M ARR by Year 4","$55,000/month","13 months","approved"
"GridHub Uganda","Improves supply chain efficiency by 34% for over 41,622 businesses in Uganda","agriculture","early-revenue","1457022","USD","54% of produce in Uganda spoils before reaching market, costing suppliers $2.0B annually","SMEs in Kampala","$2.3B addressable market in Uganda and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","2x cheaper than regional competitors with 5 patents filed","Exclusive partnership with Uganda industry associations and 2-year data advantage","$95/month SaaS subscription plus 4.2% transaction fee","$526 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 9 signed enterprise LOIs","$28,000 ARR","$20.8M ARR by Year 4","$119,000/month","19 months","approved"
"SmartGrid Tanzania","Improves retail efficiency by 31% for over 27,678 businesses in Tanzania","energy","scaling","4136138","USD","Hospitals in Dar es Salaam spend 57% more on logistics due to fragmented procurement systems, wasting $8.7B yearly","manufacturing firms in Dar es Salaam","$16.0B addressable market in Tanzania and neighboring regions","AI-powered analytics platform with automated reporting and mobile dashboards","4x cheaper than regional competitors with 5 patents filed","Exclusive partnership with Tanzania industry associations and 3-year data advantage","$197/month SaaS subscription plus 4.9% transaction fee","$919 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 15 signed enterprise LOIs","$0 pre-revenue","$10.4M ARR by Year 5","$46,000/month","8 months","approved"
"VisionSense Global","Improves supply chain efficiency by 49% for over 54,155 businesses in Global","real_estate","idea","6419050","USD","65% of produce in Global spoils before reaching market, costing suppliers $4.2B annually","urban hospitals in global markets","$20.5B addressable market in Global and neighboring regions","IoT-enabled monitoring system with SMS alerts and predictive maintenance","4x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Global industry associations and 3-year data advantage","$53/month SaaS subscription plus 3.5% transaction fee","$73 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 11 signed enterprise LOIs","$0 pre-revenue","$5.2M ARR by Year 4","$65,000/month","18 months","approved"
"RetailPulse South Africa","Improves manufacturing efficiency by 65% for over 47,252 businesses in South Africa","manufacturing","mvp","14049765","USD","42% of produce in South Africa spoils before reaching market, costing suppliers $4.7B annually","manufacturing firms in Cape Town","$2.1B addressable market in South Africa and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","2x cheaper than regional competitors with 1 patents filed","Exclusive partnership with South Africa industry associations and 1-year data advantage","$67/month SaaS subscription plus 3.7% transaction fee","$897 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 3 signed enterprise LOIs","$10,000 ARR","$9.8M ARR by Year 2","$61,000/month","14 months","approved"
"EduSync Egypt","Improves retail efficiency by 45% for over 28,884 businesses in Egypt","retail","early-revenue","19900534","USD","50% of produce in Egypt spoils before reaching market, costing suppliers $4.1B annually","retail distributors in Cairo","$20.1B addressable market in Egypt and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","4x cheaper than regional competitors with 4 patents filed","Exclusive partnership with Egypt industry associations and 3-year data advantage","$162/month SaaS subscription plus 2.7% transaction fee","$797 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$52,000 MRR","$16.9M ARR by Year 4","$60,000/month","19 months","approved"
"BuildChain Ethiopia","Improves supply chain efficiency by 56% for over 62,356 businesses in Ethiopia","other","scaling","912051","USD","64% of supply chain operations in Ethiopia remain manual, causing $1.7B in annual losses","urban hospitals in Addis Ababa","$3.3B addressable market in Ethiopia and neighboring regions","Blockchain-backed verification engine for secure cross-border transactions","4x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Ethiopia industry associations and 1-year data advantage","$70/month SaaS subscription plus 4.0% transaction fee","$791 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 2 signed enterprise LOIs","$137,000 ARR","$2.3M ARR by Year 4","$18,000/month","8 months","approved"
"HealthGrid Egypt","Improves supply chain efficiency by 27% for over 33,222 businesses in Egypt","technology","idea","3270756","USD","36% of produce in Egypt spoils before reaching market, costing suppliers $6.1B annually","retail distributors in Cairo","$13.8B addressable market in Egypt and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","5x cheaper than regional competitors with 6 patents filed","Exclusive partnership with Egypt industry associations and 4-year data advantage","$135/month SaaS subscription plus 1.4% transaction fee","$319 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 5 signed enterprise LOIs","$115,000 ARR","$9.7M ARR by Year 4","$12,000/month","24 months","approved"
"NanoHub Global","Improves retail efficiency by 25% for over 56,391 businesses in Global","healthcare","mvp","15274073","USD","45% of SMEs in Global lack access to affordable financing, leaving a $1.5B funding gap","manufacturing firms in global markets","$17.8B addressable market in Global and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","4x cheaper than regional competitors with 1 patents filed","Exclusive partnership with Global industry associations and 2-year data advantage","$196/month SaaS subscription plus 2.0% transaction fee","$735 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 6 signed enterprise LOIs","$0 pre-revenue","$8.9M ARR by Year 5","$76,000/month","23 months","approved"
"MediFlow Egypt","Improves supply chain efficiency by 55% for over 74,454 businesses in Egypt","fintech","early-revenue","2245030","USD","27% of SMEs in Egypt lack access to affordable financing, leaving a $5.5B funding gap","smallholder farmers in Cairo","$6.3B addressable market in Egypt and neighboring regions","Cloud-based workflow automation suite integrated with regional payment rails","4x cheaper than regional competitors with 2 patents filed","Exclusive partnership with Egypt industry associations and 4-year data advantage","$44/month SaaS subscription plus 3.0% transaction fee","$950 onboarding fee plus tiered monthly plans","Direct B2B sales through cooperatives and 7 signed enterprise LOIs","$0 pre-revenue","$20.4M ARR by Year 2","$34,000/month","19 months","approved"
