title,summary,sector,stage,targetAmount,currency,problem_statement,problem_targetMarket,problem_marketSize,solution_description,solution_uniqueValue,solution_competitiveAdvantage,businessModel_revenueStreams,businessModel_pricingStrategy,businessModel_customerAcquisition,financials_currentRevenue,financials_projectedRevenue,financials_burnRate,financials_runway,status
SummitBase,SummitBase provides enterprise software focused on claims intake for urban transport contractors. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,edtech,pre-seed,8293522,EUR,"Organizations responsible for claims intake frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",urban transport contractors,$6.9B annual operating market across 16 regions,"The platform consolidates operational records associated with claims intake, synchronizes data across connected systems, and maintains configurable reporting controls.",The implementation framework maintains configurable workflow rules across customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Recurring software subscriptions; onboarding retainers; reporting modules,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",1621131,18649545,429358,6 months,rejected
AtlasGrid,AtlasGrid provides enterprise software focused on inventory forecasting for independent legal practices. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,legaltech,idea,3635466,GBP,Teams handling inventory forecasting often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,independent legal practices,$10.8B annual operating market across 20 regions,"The platform consolidates operational records associated with inventory forecasting, synchronizes data across connected systems, and maintains configurable reporting controls.",The software includes configurable controls aligned with procurement and reporting requirements.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",1613866,4651428,75330,25 months,approved
AtlasFlow,AtlasFlow provides enterprise software focused on credential verification for multi-campus training institutes. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,saas,seed,3940350,USD,"Organizations responsible for credential verification frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",multi-campus training institutes,$81.0B annual operating market across 10 regions,The product centralizes operational coordination associated with credential verification into a unified management environment with configurable workflow logic.,The implementation framework maintains configurable workflow rules across customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",41766,8652068,294481,8 months,rejected
DeltaLedger,DeltaLedger provides enterprise software focused on maintenance dispatching for regional insurers. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,cleantech,seed,2137489,EUR,"Organizations responsible for maintenance dispatching frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",regional insurers,$83.9B annual operating market across 10 regions,The product centralizes operational coordination associated with maintenance dispatching into a unified management environment with configurable workflow logic.,The software includes configurable controls aligned with procurement and reporting requirements.,The implementation framework supports staged account onboarding across distributed operational environments.,Recurring software subscriptions; onboarding retainers; reporting modules,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",1723802,7178482,182619,24 months,approved
IronCloud,"IronCloud develops operational software for urban transport contractors managing credential verification. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",agritech,series-a,669131,EUR,"Organizations responsible for credential verification frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",urban transport contractors,$8.9B annual operating market across 12 regions,The product centralizes operational coordination associated with credential verification into a unified management environment with configurable workflow logic.,The implementation framework maintains configurable workflow rules across customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",21466,5735753,55827,24 months,approved
ApexCloud,ApexCloud provides enterprise software focused on inventory forecasting for regional insurers. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,fintech,idea,1811213,EUR,Teams handling inventory forecasting often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,regional insurers,$81.5B annual operating market across 16 regions,"The platform consolidates operational records associated with inventory forecasting, synchronizes data across connected systems, and maintains configurable reporting controls.",The implementation framework maintains configurable workflow rules across customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Recurring software subscriptions; onboarding retainers; reporting modules,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",596292,3247910,121740,15 months,approved
IronLogic,IronLogic provides enterprise software focused on maintenance dispatching for specialty clinics. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,agritech,idea,4231671,USD,"Operational groups managing maintenance dispatching typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",specialty clinics,$64.2B annual operating market across 13 regions,"The platform consolidates operational records associated with maintenance dispatching, synchronizes data across connected systems, and maintains configurable reporting controls.",The software includes configurable controls aligned with procurement and reporting requirements.,The implementation framework supports staged account onboarding across distributed operational environments.,Recurring software subscriptions; onboarding retainers; reporting modules,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",1517069,22263998,179148,4 months,rejected
GraniteWorks,"GraniteWorks develops operational software for warehouse operators managing compliance tracking. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",saas,pre-seed,2187256,SGD,"Operational groups managing compliance tracking typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",warehouse operators,$12.3B annual operating market across 8 regions,The product centralizes operational coordination associated with compliance tracking into a unified management environment with configurable workflow logic.,The implementation framework maintains configurable workflow rules across customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Usage-based billing; workflow modules; deployment support services,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",2477861,13376302,40488,16 months,approved
SummitPilot,SummitPilot provides enterprise software focused on crop purchasing for specialty clinics. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,ecommerce,series-a,709212,USD,"Organizations responsible for crop purchasing frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",specialty clinics,$60.5B annual operating market across 5 regions,The product centralizes operational coordination associated with crop purchasing into a unified management environment with configurable workflow logic.,The implementation framework maintains configurable workflow rules across customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",1542262,3539374,48785,15 months,approved
PioneerCloud,"PioneerCloud develops operational software for warehouse operators managing crop purchasing. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",edtech,seed,3190175,SGD,"Operational groups managing crop purchasing typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",warehouse operators,$76.0B annual operating market across 5 regions,The product centralizes operational coordination associated with crop purchasing into a unified management environment with configurable workflow logic.,The deployment architecture supports phased onboarding across distributed customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Annual platform agreements; implementation services; support contracts,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",609564,2934308,109986,28 months,approved
HarborFlow,HarborFlow provides enterprise software focused on inventory forecasting for retail distribution chains. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,saas,series-a,2515690,GBP,"Operational groups managing inventory forecasting typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",retail distribution chains,$14.6B annual operating market across 10 regions,"The software standardizes workflows related to inventory forecasting while supporting audit visibility, role-based access management, and operational tracking.",The platform supports integration with operational systems commonly used across secondary regional markets.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Annual platform agreements; implementation services; support contracts,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",552086,11768241,643135,3 months,rejected
IronLedger,"IronLedger operates a workflow platform used by industrial procurement teams responsible for inventory forecasting. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",ecommerce,series-a,920754,AED,Teams handling inventory forecasting often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,industrial procurement teams,$34.1B annual operating market across 20 regions,"The platform consolidates operational records associated with inventory forecasting, synchronizes data across connected systems, and maintains configurable reporting controls.",The platform supports integration with operational systems commonly used across secondary regional markets.,The implementation framework supports staged account onboarding across distributed operational environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",821314,3610923,121817,15 months,approved
GraniteBase,"GraniteBase operates a workflow platform used by urban transport contractors responsible for inventory forecasting. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",fintech,pre-seed,8425726,SGD,"Operational groups managing inventory forecasting typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",urban transport contractors,$75.1B annual operating market across 15 regions,"The software standardizes workflows related to inventory forecasting while supporting audit visibility, role-based access management, and operational tracking.",The software includes configurable controls aligned with procurement and reporting requirements.,The implementation framework supports staged account onboarding across distributed operational environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",1261975,14577319,391514,7 months,rejected
SignalLedger,SignalLedger provides enterprise software focused on shipment coordination for specialty clinics. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,ecommerce,pre-seed,3964085,EUR,"Operational groups managing shipment coordination typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",specialty clinics,$44.5B annual operating market across 9 regions,The product centralizes operational coordination associated with shipment coordination into a unified management environment with configurable workflow logic.,The implementation framework maintains configurable workflow rules across customer operating environments.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Recurring software subscriptions; onboarding retainers; reporting modules,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",150458,4241870,113333,21 months,approved
SummitCloud,"SummitCloud develops operational software for regional insurers managing maintenance dispatching. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",proptech,idea,7139320,GBP,"Operational groups managing maintenance dispatching typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",regional insurers,$64.2B annual operating market across 22 regions,"The software standardizes workflows related to maintenance dispatching while supporting audit visibility, role-based access management, and operational tracking.",The platform supports integration with operational systems commonly used across secondary regional markets.,The implementation framework supports staged account onboarding across distributed operational environments.,Annual platform agreements; implementation services; support contracts,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",1121198,10665389,461683,7 months,rejected
GraniteGrid,GraniteGrid provides enterprise software focused on claims intake for multi-campus training institutes. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,ecommerce,pre-seed,4144010,SGD,"Operational groups managing claims intake typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",multi-campus training institutes,$88.3B annual operating market across 18 regions,The product centralizes operational coordination associated with claims intake into a unified management environment with configurable workflow logic.,The software includes configurable controls aligned with procurement and reporting requirements.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",394982,24863602,585364,3 months,rejected
PioneerLedger,"PioneerLedger develops operational software for industrial procurement teams managing patient scheduling. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",ecommerce,series-a,1017137,AED,"Organizations responsible for patient scheduling frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",industrial procurement teams,$89.1B annual operating market across 21 regions,"The platform consolidates operational records associated with patient scheduling, synchronizes data across connected systems, and maintains configurable reporting controls.",The deployment architecture supports phased onboarding across distributed customer operating environments.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Usage-based billing; workflow modules; deployment support services,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",96598,4100741,175396,23 months,approved
NorthLedger,"NorthLedger operates a workflow platform used by commercial property groups responsible for compliance tracking. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",agritech,seed,4518346,AED,"Organizations responsible for compliance tracking frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",commercial property groups,$35.4B annual operating market across 10 regions,"The software standardizes workflows related to compliance tracking while supporting audit visibility, role-based access management, and operational tracking.",The deployment architecture supports phased onboarding across distributed customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",427847,3572775,678871,3 months,rejected
AtlasPilot,"AtlasPilot develops operational software for multi-campus training institutes managing shipment coordination. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",logistics,seed,5512353,GBP,Teams handling shipment coordination often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,multi-campus training institutes,$66.3B annual operating market across 20 regions,"The software standardizes workflows related to shipment coordination while supporting audit visibility, role-based access management, and operational tracking.",The software includes configurable controls aligned with procurement and reporting requirements.,The implementation framework supports staged account onboarding across distributed operational environments.,Recurring software subscriptions; onboarding retainers; reporting modules,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",1192727,21992896,807096,6 months,rejected
DeltaPilot,DeltaPilot provides enterprise software focused on compliance tracking for industrial procurement teams. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,cleantech,idea,3178356,EUR,"Operational groups managing compliance tracking typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",industrial procurement teams,$94.7B annual operating market across 10 regions,"The platform consolidates operational records associated with compliance tracking, synchronizes data across connected systems, and maintains configurable reporting controls.",The software includes configurable controls aligned with procurement and reporting requirements.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",965385,15994076,148528,10 months,rejected
ApexGrid,"ApexGrid operates a workflow platform used by independent legal practices responsible for maintenance dispatching. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",cleantech,seed,7847514,EUR,Teams handling maintenance dispatching often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,independent legal practices,$37.3B annual operating market across 14 regions,"The platform consolidates operational records associated with maintenance dispatching, synchronizes data across connected systems, and maintains configurable reporting controls.",The implementation framework maintains configurable workflow rules across customer operating environments.,Deployment operations follow a structured onboarding process across customer operating environments with phased implementation support during rollout.,Recurring software subscriptions; onboarding retainers; reporting modules,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",511676,25699061,799647,5 months,rejected
PioneerBase,"PioneerBase operates a workflow platform used by retail distribution chains responsible for compliance tracking. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",fintech,idea,3059322,AED,"Organizations responsible for compliance tracking frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",retail distribution chains,$55.6B annual operating market across 5 regions,The product centralizes operational coordination associated with compliance tracking into a unified management environment with configurable workflow logic.,The platform supports integration with operational systems commonly used across secondary regional markets.,The implementation framework supports staged account onboarding across distributed operational environments.,Usage-based billing; workflow modules; deployment support services,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",281616,697763,161689,22 months,approved
VectorCore,VectorCore provides enterprise software focused on compliance tracking for independent legal practices. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,logistics,seed,6501273,USD,Teams handling compliance tracking often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,independent legal practices,$78.2B annual operating market across 21 regions,"The software standardizes workflows related to compliance tracking while supporting audit visibility, role-based access management, and operational tracking.",The deployment architecture supports phased onboarding across distributed customer operating environments.,The implementation framework supports staged account onboarding across distributed operational environments.,Usage-based billing; workflow modules; deployment support services,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","Customer acquisition relies on procurement referrals, implementation partners, and direct enterprise sales activity.",2139452,21298669,253802,10 months,rejected
LatticeCore,"LatticeCore develops operational software for multi-campus training institutes managing inventory forecasting. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",agritech,idea,4067252,USD,"Organizations responsible for inventory forecasting frequently coordinate activity across disconnected systems, vendor portals, and manual reporting workflows.",multi-campus training institutes,$78.7B annual operating market across 6 regions,"The platform consolidates operational records associated with inventory forecasting, synchronizes data across connected systems, and maintains configurable reporting controls.",The implementation framework maintains configurable workflow rules across customer operating environments.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Usage-based billing; workflow modules; deployment support services,"Commercial agreements are indexed to deployment scope, transaction activity, and active operating locations.","The company sources accounts through regional implementation partners, outbound sales outreach, and executive referral networks.",1483832,6610337,296155,7 months,rejected
PioneerBridge,PioneerBridge provides enterprise software focused on inventory forecasting for agricultural exporters. The company is raising funding to support regional deployment operations and commercial onboarding capacity.,fintech,idea,944831,EUR,Teams handling inventory forecasting often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,agricultural exporters,$83.4B annual operating market across 14 regions,The product centralizes operational coordination associated with inventory forecasting into a unified management environment with configurable workflow logic.,The platform supports integration with operational systems commonly used across secondary regional markets.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Annual platform agreements; implementation services; support contracts,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",392059,2122629,186286,21 months,approved
SummitBase,"SummitBase develops operational software for regional insurers managing crop purchasing. The current financing round supports deployment capacity, onboarding operations, and implementation coverage across additional markets.",cleantech,idea,5877114,GBP,Teams handling crop purchasing often rely on fragmented operational processes requiring repeated reconciliation between internal systems and external service providers.,regional insurers,$91.4B annual operating market across 20 regions,"The software standardizes workflows related to crop purchasing while supporting audit visibility, role-based access management, and operational tracking.",The software includes configurable controls aligned with procurement and reporting requirements.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Usage-based billing; workflow modules; deployment support services,Customers are billed through annual contracts aligned with usage activity and implementation requirements.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",2589082,27892833,215601,4 months,rejected
SignalFlow,"SignalFlow operates a workflow platform used by commercial property groups responsible for shipment coordination. Capital from the current round is allocated toward integration support, implementation staffing, and account expansion activity.",ecommerce,seed,2016272,AED,"Operational groups managing shipment coordination typically lack centralized visibility across reporting environments, vendor records, and implementation workflows.",commercial property groups,$91.2B annual operating market across 18 regions,"The platform consolidates operational records associated with shipment coordination, synchronizes data across connected systems, and maintains configurable reporting controls.",The platform supports integration with operational systems commonly used across secondary regional markets.,Customer deployments are managed through standardized implementation procedures across account operating environments.,Recurring software subscriptions; onboarding retainers; reporting modules,Pricing combines recurring subscription commitments with onboarding and reporting service charges.,"Commercial growth is supported through pilot deployments, sector conferences, and referral relationships.",2173490,11109547,114520,22 months,approved
